cik,accession_nr,filing_date
1141802,108514625003139,2025-05-14
1145020,114036124025736,2024-05-13
1145020,114036124036252,2024-08-08
1145020,114036124045910,2024-11-12
1145020,114036125004382,2025-02-14
1145020,114036125017766,2025-05-08
1163653,90514824001407,2024-05-15
1163653,90514824002203,2024-08-14
1163653,90514825000084,2025-01-13
1163653,90514825000628,2025-02-14
1163653,90514825001686,2025-05-15
1164508,116450824000006,2024-11-14
1164508,140282824000004,2024-05-15
1164508,140282824000006,2024-08-14
1164508,140282825000002,2025-02-12
1164508,140282825000004,2025-05-14
1165408,117266124002407,2024-05-15
1165408,117266124003397,2024-08-14
1165408,117266124004840,2024-11-14
1165408,117266125000948,2025-02-14
1165408,117266125002042,2025-05-15
1166588,116658824000009,2024-05-01
1166588,116658824000011,2024-08-13
1166588,116658824000026,2024-11-13
1166588,116658825000025,2025-02-14
1166588,116658825000031,2025-05-14
1167557,108514624002596,2024-05-15
1167557,108514624004009,2024-08-14
1167557,108514624005943,2024-11-14
1167557,108514625001702,2025-02-14
1167557,108514625003311,2025-05-15
1207017,105047125000002,2025-02-14
1207017,120701724000029,2024-07-09
1207017,120701724000030,2024-08-14
1207017,120701724000060,2024-11-14
1207017,120701725000047,2025-05-15
1218210,121821024000008,2024-05-02
1218210,121821024000015,2024-08-08
1218210,121821025000001,2025-01-06
1218210,121821025000010,2025-05-14
1218210,121821025000012,2025-07-29
1218210,203512324000002,2024-11-05
1218710,95012324004654,2024-05-13
1218710,95012324008707,2024-08-14
1218710,95012324011629,2024-11-14
1218710,95012325002486,2025-02-14
1218710,95012325005606,2025-05-15
1273087,127308724000071,2024-05-15
1273087,127308724000084,2024-08-14
1273087,127308724000118,2024-11-14
1273087,127308725000015,2025-02-14
1273087,127308725000019,2025-05-15
1274173,108514624002608,2024-05-15
1274173,108514624003869,2024-08-14
1274173,108514624005765,2024-11-14
1274173,108514625001531,2025-02-14
1274173,108514625003208,2025-05-15
1283718,110465924061182,2024-05-14
1283718,110465924088442,2024-08-12
1283718,110465924118158,2024-11-14
1283718,110465925013032,2025-02-13
1283718,110465925048705,2025-05-15
1284812,128481224000204,2024-05-15
1284812,128481224000290,2024-08-13
1284812,128481224000368,2024-11-14
1284812,128481225000073,2025-02-13
1284812,128481225000188,2025-05-15
1318757,131875724000006,2024-05-15
